000030,2004/11/29,2011/9/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600635,2005/7/26,2005/7/28,2006/3/20,2007/3/16,2007/4/25,2008/6/17,2008/6/18,2008/6/23,2008/6/24,2009/12/31,2015/7/2,2015/7/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600210,2005/8/4,2005/8/6,2007/8/27,2011/9/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000999,2005/9/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000078,2005/10/15,2009/5/22,2015/7/7,2015/7/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000659,2005/11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600779,2005/12/23,2010/12/29,2011/9/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600189,2005/12/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600500,2006/1/5,2006/5/26,2006/8/22,2006/12/29,2007/6/1,2007/6/4,2007/6/29,2008/1/16,2008/1/24,2008/6/10,2008/8/7,2013/11/8,2013/11/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600331,2006/2/23,2006/2/28,2006/3/7,2006/3/8,2006/3/23,2006/3/28,2006/3/29,2006/3/30,2006/3/31,2006/6/14,2008/7/4,2008/9/8,2008/9/17,2008/11/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600895,2006/2/27,2007/2/1,2007/2/16,2007/2/26,2007/2/27,2007/2/28,2007/3/5,2007/6/27,2007/6/28,2007/6/29,2007/8/27,2009/12/21,2009/12/31,2010/1/5,2010/2/12,2010/5/6,2010/5/7,2010/6/30,2015/7/8,2015/7/9,2015/7/10,2015/8/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
